Id,Label,Family,sourceTaxonName,targetTaxonFamilyName
0,Anthocharis sara,Pieridae,,42.0
1,Apis mellifera,Apidae,,833.0
2,Battus philenor,Papilionidae,,54.0
3,Bombus melanopygus,Apidae,,111.0
4,Bombus vosnesenskii,Apidae,,39.0
5,Callophrys viridis,Lycaenidae,,3.0
6,Carcharodus alceae,Hesperiidae,,8.0
7,Coenonympha tullia,Nymphalidae,,24.0
8,Halictus ligatus,Halictidae,,24.0
9,Orobanche mutelii,Orobanchaceae,,2.0
10,Orobanche ramosa,Orobanchaceae,,6.0
11,Oxythyrea cinctella,Cetoniidae,,3.0
12,Papilio zelicaon,Papilionidae,,75.0
13,Phelipanche nana,Orobanchaceae,,2.0
14,Pieris marginalis,Pieridae,,9.0
15,Rediviva albifasciata,Melittidae,,5.0
16,Rediviva alonsoae,Melittidae,,6.0
17,Rediviva aurata,Melittidae,,3.0
18,Rediviva intermixta,Melittidae,,16.0
19,Rediviva micheneri,Melittidae,,2.0
20,Rediviva parva,Melittidae,,12.0
21,Rediviva peringueyi,Melittidae,,13.0
22,Rediviva rufipes,Melittidae,,6.0
23,Stomorhina lunata,Calliphoridae,,1.0
24,Stomorhina lunata,Rhiniidae,,46.0
25,Toxomerus marginatus,Syrphidae,,31.0
26,Vanessa cardui,Nymphalidae,,225.0
27,Abronia umbellata,Nyctaginaceae,1.0,
28,Acanthus spinosus,Acanthaceae,1.0,
29,Achillea millefolium,Asteraceae,3.0,
30,Achyrocline satureoides,Asteraceae,1.0,
31,Acmella caulirhiza,Asteraceae,1.0,
32,Aconitum columbianum,Ranunculaceae,2.0,
33,Adelinia grande,Boraginaceae,3.0,
34,Adenostoma fasciculatum,Rosaceae,1.0,
35,Aeonium arboreum,Crassulaceae,2.0,
36,Aeonium cuneatum,Crassulaceae,1.0,
37,Aesculus californica,Sapindaceae,7.0,
38,Agalinis genistifolia,Orobanchaceae,1.0,
39,Agapanthus praecox,Amaryllidaceae,1.0,
40,Agarista salicifolia,Ericaceae,5.0,
41,Agastache foeniculum,Lamiaceae,1.0,
42,Ageratum conyzoides,Asteraceae,1.0,
43,Ajania pacifica,Asteraceae,1.0,
44,Alcea rosea,Malvaceae,1.0,
45,Aletes hendersonii,Apiaceae,1.0,
46,Alkanna tinctoria,Boraginaceae,1.0,
47,Allium aflatunense,Amaryllidaceae,1.0,
48,Allium cernuum,Amaryllidaceae,2.0,
49,Allium drummondii,Amaryllidaceae,2.0,
50,Allium lacunosum,Amaryllidaceae,2.0,
51,Allium neapolitanum,Amaryllidaceae,1.0,
52,Allium serra,Amaryllidaceae,1.0,
53,Allium thunbergii,Amaryllidaceae,2.0,
54,Aloe maculata,Xanthorrhoeaceae,1.0,
55,Alonsoa unilabiata,Scrophulariaceae,4.0,
56,Aloysia virgata,Verbenaceae,1.0,
57,Alstonia macrophylla,Apocynaceae,3.0,
58,Alternanthera ficoidea,Amaranthaceae,2.0,
59,Althaea officinalis,Malvaceae,2.0,
60,Amaryllis belladonna,Amaryllidaceae,1.0,
61,Amomyrtus luma,Myrtaceae,1.0,
62,Amomyrtus meli,Myrtaceae,1.0,
63,Amorpha fruticosa,Fabaceae,2.0,
64,Amsinckia douglasiana,Boraginaceae,1.0,
65,Amsinckia intermedia,Boraginaceae,1.0,
66,Anacardium occidentale,Anacardiaceae,1.0,
67,Anchusa officinalis,Boraginaceae,1.0,
68,Anchusa undulata,Boraginaceae,1.0,
69,Anchusella cretica,Boraginaceae,1.0,
70,Andryala pinnatifida,Asteraceae,2.0,
71,Anemone americana,Ranunculaceae,2.0,
72,Anemone blanda,Ranunculaceae,1.0,
73,Anemone coronaria,Ranunculaceae,1.0,
74,Anemone pavonina,Ranunculaceae,2.0,
75,Anethum graveolens,Apiaceae,3.0,
76,Angelica ampla,Apiaceae,1.0,
77,Angelica arguta,Apiaceae,1.0,
78,Angelica capitellata,Apiaceae,2.0,
79,Angelica hendersoni,Apiaceae,1.0,
80,Angelica hendersonii,Apiaceae,1.0,
81,Angelica kingii,Apiaceae,1.0,
82,Angelica lineariloba,Apiaceae,1.0,
83,Angelica lucida,Apiaceae,1.0,
84,Angelica sylvestris,Apiaceae,1.0,
85,Angelica tomentosa,Apiaceae,1.0,
86,Anthriscus cerefolium,Apiaceae,1.0,
87,Antidesma madagascariense,Phyllanthaceae,3.0,
88,Aphanostephus ramosissimus,Asteraceae,1.0,
89,Aphloia theiformis,Aphloiaceae,7.0,
90,Apium graveolens,Apiaceae,1.0,
91,Apocynum cannabinum,Apocynaceae,1.0,
92,Arabis glabra,Brassicaceae,1.0,
93,Arbutus andrachnoides,Ericaceae,3.0,
94,Arbutus menziesii,Ericaceae,2.0,
95,Arctium lappa,Asteraceae,1.0,
96,Arctium minus,Asteraceae,2.0,
97,Arctium tomentosum,Asteraceae,1.0,
98,Arctostaphylos glandulosa,Ericaceae,1.0,
99,Arctostaphylos manzanita,Ericaceae,2.0,
100,Arctostaphylos uva-ursi,Ericaceae,4.0,
101,Arctotheca calendula,Asteraceae,1.0,
102,Arctotis stoechadifolia,Asteraceae,1.0,
103,Argemone mexicana,Papaveraceae,1.0,
104,Argemone platyceras,Papaveraceae,1.0,
105,Argyranthemum tenerifae,Asteraceae,3.0,
106,Aristea capitata,Iridaceae,1.0,
107,Aristolochia californica,Aristolochiaceae,2.0,
108,Aristolochia erecta,Aristolochiaceae,1.0,
109,Aristolochia littoralis,Aristolochiaceae,1.0,
110,Aristolochia macrophylla,Aristolochiaceae,1.0,
111,Aristolochia micrantha,Aristolochiaceae,1.0,
112,Aristolochia odoratissima,Aristolochiaceae,1.0,
113,Aristolochia orbicularis,Aristolochiaceae,1.0,
114,Aristolochia reticulata,Aristolochiaceae,1.0,
115,Aristolochia serpentaria,Aristolochiaceae,1.0,
116,Aristolochia tomentosa,Aristolochiaceae,1.0,
117,Aristolochia watsonii,Aristolochiaceae,1.0,
118,Arnica montana,Asteraceae,1.0,
119,Artemisia austriaca,Asteraceae,1.0,
120,Artemisia frigida,Asteraceae,1.0,
121,Artemisia ludoviciana,Asteraceae,1.0,
122,Artemisia princeps,Asteraceae,1.0,
123,Artemisia stelleriana,Asteraceae,1.0,
124,Artemisia tridentata,Asteraceae,1.0,
125,Artemisia vulgaris,Asteraceae,1.0,
126,Asarum canadense,Aristolochiaceae,1.0,
127,Asclepias cordifolia,Apocynaceae,3.0,
128,Asclepias fascicularis,Apocynaceae,5.0,
129,Asclepias glaucescens,Apocynaceae,1.0,
130,Asclepias hallii,Apocynaceae,2.0,
131,Asclepias notha,Apocynaceae,1.0,
132,Asclepias otarioides,Apocynaceae,1.0,
133,Asclepias speciosa,Apocynaceae,3.0,
134,Asclepias syriaca,Apocynaceae,4.0,
135,Asemeia grandiflora,Polygalaceae,1.0,
136,Asparagus aphyllus,Asparagaceae,1.0,
137,Aspidonepsis diploglossa,Apocynaceae,2.0,
138,Aspilia,Asteraceae,1.0,
139,Astilbe thunbergii,Saxifragaceae,1.0,
140,Astragalus drummondii,Fabaceae,2.0,
141,Astragalus monspessulanus,Fabaceae,1.0,
142,Astragalus sinicus,Fabaceae,1.0,
143,Astragalus whitneyi,Fabaceae,1.0,
144,Asystasia gangetica,Acanthaceae,1.0,
145,Athysanus pusillus,Brassicaceae,1.0,
146,Atocion armeria,Caryophyllaceae,2.0,
147,Avicennia germinans,Acanthaceae,2.0,
148,Azorina vidalii,Campanulaceae,3.0,
149,Baccharis articulata,Asteraceae,1.0,
150,Baccharis conferta,Asteraceae,1.0,
151,Baccharis salicifolia,Asteraceae,2.0,
152,Baccharis salicina,Asteraceae,1.0,
153,Baccharis tandilensis,Asteraceae,1.0,
154,Badula insularis,Primulaceae,4.0,
155,Ballota acetabulosa,Lamiaceae,1.0,
156,Balsamorhiza careyana,Asteraceae,1.0,
157,Banisteriopsis muricata,Malpighiaceae,3.0,
158,Banksia integrifolia,Proteaceae,2.0,
159,Barbarea orthoceras,Brassicaceae,1.0,
160,Barbarea verna,Brassicaceae,1.0,
161,Barbarea vulgaris,Brassicaceae,1.0,
162,Barkleyanthus salicifolius,Asteraceae,1.0,
163,Barrosoa betonicifolia,Asteraceae,1.0,
164,Battus philenor,Papilionidae,1.0,
165,Bauhinia divaricata,Fabaceae,2.0,
166,Bebbia atriplicifolia,Asteraceae,1.0,
167,Begonia cucullata,Begoniaceae,2.0,
168,Berberis buxifolia,Berberidaceae,1.0,
169,Berberis darwinii,Berberidaceae,1.0,
170,Berberis thunbergii,Berberidaceae,1.0,
171,Berberis wilsoniae,Berberidaceae,1.0,
172,Berkheya discolor,Asteraceae,1.0,
173,Beta vulgaris,Chenopodiaceae,1.0,
174,Bidens aurea,Asteraceae,1.0,
175,Bidens frondosa,Asteraceae,2.0,
176,Bidens odorata,Asteraceae,1.0,
177,Bidens pilosa,Asteraceae,3.0,
178,Bidens triplinervia,Asteraceae,1.0,
179,Biscutella didyma,Brassicaceae,1.0,
180,Boechera lyallii,Brassicaceae,1.0,
181,Boechera perennans,Brassicaceae,1.0,
182,Boechera platysperma,Brassicaceae,1.0,
183,Boechera sparsiflora,Brassicaceae,1.0,
184,Boechera suffrutescens,Brassicaceae,1.0,
185,Boehmeria nivea,Urticaceae,1.0,
186,Bonnetia sessilis,Bonnetiaceae,1.0,
187,Borago officinalis,Boraginaceae,1.0,
188,Brassica juncea,Brassicaceae,1.0,
189,Brassica napus,Brassicaceae,1.0,
190,Brassica nigra,Brassicaceae,5.0,
191,Brassica rapa,Brassicaceae,2.0,
192,Brodiaea coronaria,Asparagaceae,1.0,
193,Brodiaea elegans,Asparagaceae,1.0,
194,Brucea javanica,Simaroubaceae,2.0,
195,Buddleja salviifolia,Scrophulariaceae,1.0,
196,Buddleja weyeriana,Scrophulariaceae,1.0,
197,Bulbinella floribunda,Xanthorrhoeaceae,1.0,
198,Byrsonima gardneriana,Malpighiaceae,3.0,
199,Cakile maritima,Brassicaceae,2.0,
200,Caldcluvia paniculata,Cunoniaceae,1.0,
201,Calendula arvensis,Asteraceae,3.0,
202,Calendula officinalis,Asteraceae,1.0,
203,Callistemon citrinus,Myrtaceae,3.0,
204,Calluna vulgaris,Ericaceae,1.0,
205,Calochortus aureus,Liliaceae,1.0,
206,Calochortus gunnisonii,Liliaceae,2.0,
207,Calochortus minimus,Liliaceae,1.0,
208,Calochortus weedii,Liliaceae,1.0,
209,Calopogon tuberosus,Orchidaceae,2.0,
210,Calystegia longipes,Convolvulaceae,1.0,
211,Calystegia macrostegia,Convolvulaceae,1.0,
212,Camellia japonica,Theaceae,1.0,
213,Camissoniopsis cheiranthifolia,Onagraceae,1.0,
214,Campanula medium,Campanulaceae,1.0,
215,Campanula rotundifolia,Campanulaceae,3.0,
216,Campovassouria cruciata,Asteraceae,1.0,
217,Campuloclinium megacephalum,Asteraceae,1.0,
218,Cannabis sativa,Cannabaceae,2.0,
219,Capparis odoratissima,Capparaceae,2.0,
220,Capraria biflora,Scrophulariaceae,2.0,
221,Capsella bursa-pastoris,Brassicaceae,1.0,
222,Cardamine angustata,Brassicaceae,3.0,
223,Cardamine californica,Brassicaceae,1.0,
224,Cardamine concatenata,Brassicaceae,1.0,
225,Cardiospermum corindum,Sapindaceae,1.0,
226,Carduus acanthoides,Asteraceae,3.0,
227,Carduus crispus,Asteraceae,1.0,
228,Carduus nutans,Asteraceae,1.0,
229,Carduus pycnocephalus,Asteraceae,2.0,
230,Carlina vulgaris,Asteraceae,1.0,
231,Carpobrotus chilensis,Aizoaceae,2.0,
232,Cassiope tetragona,Ericaceae,2.0,
233,Castanea crenata,Fagaceae,2.0,
234,Castilleja indivisa,Orobanchaceae,1.0,
235,Castilleja lineariloba,Orobanchaceae,1.0,
236,Catalpa speciosa,Bignoniaceae,1.0,
237,Caulanthus lasiophyllus,Brassicaceae,1.0,
238,Ceanothus cuneatus,Rhamnaceae,3.0,
239,Ceanothus dentatus,Rhamnaceae,2.0,
240,Ceanothus thyrsiflorus,Rhamnaceae,4.0,
241,Cedronella canariensis,Lamiaceae,2.0,
242,Celosia argentea,Amaranthaceae,1.0,
243,Centaurea jacea,Asteraceae,1.0,
244,Centaurea melitensis,Asteraceae,2.0,
245,Centaurea moncktonii,Asteraceae,1.0,
246,Centaurea nigra,Asteraceae,2.0,
247,Centaurea solstitialis,Asteraceae,1.0,
248,Ceratostigma willmottianum,Plumbaginaceae,1.0,
249,Cestrum fasciculatum,Solanaceae,1.0,
250,Chaenactis stevioides,Asteraceae,1.0,
251,Chaenomeles japonica,Rosaceae,1.0,
252,Chamerion angustifolium,Onagraceae,4.0,
253,Chenopodium album,Chenopodiaceae,1.0,
254,Chilopsis linearis,Bignoniaceae,1.0,
