Id,Source,Target,Interaction,Type
198115,Bubo virginianus,Procyon lotor,eats,directed
209176,Cathartes aura,Procyon lotor,eats,directed
209291,Coragyps atratus,Procyon lotor,eats,directed
214225,Aquila chrysaetos,Procyon lotor,eats,directed
216493,Haliaeetus leucocephalus,Procyon lotor,eats,directed
590946,Aonchotheca putorii,Procyon lotor,parasiteOf,directed
591037,Macracanthorhynchus ingens,Procyon lotor,parasiteOf,directed
592640,Molineus barbatus,Procyon lotor,parasiteOf,directed
593525,Dracunculus insignis,Procyon lotor,parasiteOf,directed
593666,Spirometra mansonoides,Procyon lotor,parasiteOf,directed
593861,Pearsonema plica,Procyon lotor,parasiteOf,directed
594128,Gnathostoma lamothei,Procyon lotor,parasiteOf,directed
594264,Placoconus lotoris,Procyon lotor,parasiteOf,directed
594324,Gnathostoma procyonis,Procyon lotor,parasiteOf,directed
594581,Physaloptera rara,Procyon lotor,parasiteOf,directed
594651,Dioctophyma renale,Procyon lotor,parasiteOf,directed
1223134,Trypanosoma cruzi,Procyon lotor,parasiteOf,directed
1223163,Toxoplasma gondii,Procyon lotor,parasiteOf,directed
1223171,Sarcocystis neurona,Procyon lotor,parasiteOf,directed
1223180,Sarcocystis kirkpatricki,Procyon lotor,parasiteOf,directed
1223190,Salmonella enterica,Procyon lotor,parasiteOf,directed
1223223,Neospora caninum,Procyon lotor,parasiteOf,directed
1223227,Mycobacterium avium,Procyon lotor,parasiteOf,directed
1223240,Physaloptera maxillaris,Procyon lotor,parasiteOf,directed
1223265,Leptospira interrogans,Procyon lotor,parasiteOf,directed
1223339,Ixodes scapularis,Procyon lotor,parasiteOf,directed
1223342,Heterobilharzia americana,Procyon lotor,parasiteOf,directed
1223356,Hepatozoon procyonis,Procyon lotor,parasiteOf,directed
1223358,Eurytrema procyonis,Procyon lotor,parasiteOf,directed
1223366,Ehrlichia chaffeensis,Procyon lotor,parasiteOf,directed
1223379,Dirofilaria immitis,Procyon lotor,parasiteOf,directed
1223380,Dermacentor variabilis,Procyon lotor,parasiteOf,directed
1223394,Cuterebra grisea,Procyon lotor,parasiteOf,directed
1223395,Cuterebra fontinella,Procyon lotor,parasiteOf,directed
1223397,Staphylococcus aureus,Procyon lotor,parasiteOf,directed
1223400,Stachiella octomaculatus,Procyon lotor,parasiteOf,directed
1223403,Chaetopsylla lotoris,Procyon lotor,parasiteOf,directed
1223408,Orchopeas howardi,Procyon lotor,parasiteOf,directed
1223441,Centrorhynchus conspectus,Procyon lotor,parasiteOf,directed
1223473,Capillaria procyonis,Procyon lotor,parasiteOf,directed
1223474,Trichinella spiralis,Procyon lotor,parasiteOf,directed
1223477,Candida albicans,Procyon lotor,parasiteOf,directed
1223478,Brugia beaveri,Procyon lotor,parasiteOf,directed
