Id,Label,Family,sourceTaxonName,targetTaxonFamilyName
0,Acanthocheilonema procyonis,Setariidae,,2.0
1,Aedes taeniorhynchus,Culicidae,,34.0
2,Agelaius phoeniceus,Icteridae,,23.0
3,Aix sponsa,Anatidae,,20.0
4,Alaria taxideae,Diplostomatidae,,3.0
5,Alligator mississippiensis,Alligatoridae,,25.0
6,Alligator mississippiensis,Crocodylidae,,7.0
7,Amblyomma americanum,Ixodidae,,28.0
8,Amblyomma maculatum,Ixodidae,,17.0
9,Amblyomma ovale,Ixodidae,,38.0
10,Anaplasma bovis,Anaplasmataceae,,16.0
11,Anaplasma phagocytophilum,Anaplasmataceae,,82.0
12,Anas acuta,Anatidae,,31.0
13,Anas platyrhynchos,Anatidae,,81.0
14,Anas strepera,Anatidae,,17.0
15,Anaxyrus americanus,Bufonidae,,1.0
16,Ancylostoma caninum,Ancylostomatidae,,32.0
17,Ancylostoma kusimaense,Ancylostomatidae,,4.0
18,Androlaelaps casalis,Laelapidae,,4.0
19,Angiostrongylus costaricensis,Angiostrongylidae,,30.0
20,Aonchotheca mustelorum,Capillariidae,,4.0
21,Aonchotheca putorii,Capillariidae,,29.0
22,Apophallus venustus,Heterophyidae,,13.0
23,Aquila chrysaetos,Accipitridae,,135.0
24,Ardea alba,Ardeidae,,29.0
25,Arthrostoma miyazakiense,Ancylostomatidae,,4.0
26,Ascaris columnaris,Ascaridae,,6.0
27,Ascaris lumbricoides,Ascarididae,,34.0
28,Ascaris suum,Ascarididae,,18.0
29,Ascocotyle longa,Heterophyidae,,17.0
30,Ascocotyle pachycystis,Heterophyidae,,3.0
31,Ascorhytis charadriformis,Microphallidae,,7.0
32,Atherinops affinis,Atherinopsidae,,15.0
33,Atriotaenia incisa,Anoplocephalidae,,3.0
34,Babesia microti,Babesiidae,,27.0
35,Babesia procyoni,Babesiidae,,2.0
36,Bartonella rochalimae,Bartonellaceae,,8.0
37,Baylisascaris columnaris,Ascarididae,,14.0
38,Baylisascaris procyonis,Ascarididae,,30.0
39,Borrelia burgdorferi,Spirochaetaceae,,62.0
40,Brachylaima fuscatus,Brachylaimidae,,3.0
41,Brachylaima virginiana,Brachylaimidae,,12.0
42,Brachylaima virginianum,Brachylaimidae,,4.0
43,Brugia beaveri,Filariidae,,2.0
44,Bubo virginianus,Strigidae,,163.0
45,Bufo bufo,Bufonidae,,1.0
46,Buteo jamaicensis,Accipitridae,,183.0
47,Butorides virescens,Ardeidae,,16.0
48,Canine distemper virus,Paramyxoviridae,,32.0
49,Canine morbillivirus,Paramyxoviridae,,5.0
50,Canis latrans,Canidae,,70.0
51,Canis lupus,Canidae,,45.0
52,Capillaria aerophila,Capillariidae,,43.0
53,Capillaria plica,Capillariidae,,17.0
54,Capillaria procyonis,Trichuridae,,5.0
55,Capillaria putorii,Trichuridae,,13.0
56,Caretta caretta,Cheloniidae,,11.0
57,Carpodacus mexicanus,Fringillidae,,1.0
58,Cathartes aura,Cathartidae,,35.0
59,Catharus guttatus,Turdidae,,1.0
60,Centrorhynchus bazaleticus,Centrorhynchidae,,2.0
61,Centrorhynchus conspectus,Centrorhynchidae,,9.0
62,Centrorhynchus wardae,Centrorhynchidae,,4.0
63,Chaetopsylla lotoris,Vermipsyllidae,,3.0
64,Chandleronema longigutturata,Acuariidae,,3.0
65,Chelydra serpentina,Chelydridae,,2.0
66,Chrysemys picta,Emydidae,,1.0
67,Cloacitrema michiganense,Philophthalmidae,,31.0
68,Colaptes auratus,Picidae,,4.0
69,Concinnum procyonis,Dicrocoeliidae,,2.0
70,Concinnum ten,Dicrocoeliidae,,4.0
71,Contracaecum spiculigerum,Anisakidae,,33.0
72,Coragyps atratus,Cathartidae,,18.0
73,Corvus caurinus,Corvidae,,8.0
74,Coxiella burnetii,Coxiellaceae,,61.0
75,Crenosoma goblei,Crenosomatidae,,2.0
76,Crenosoma striatum,Crenosomatidae,,40.0
77,Cruzia americana,Kathlaniidae,,4.0
78,Cryptosporidium parvum,Cryptosporidiidae,,82.0
79,Culex tarsalis,Culicidae,,38.0
80,Cuterebra fontinella,Oestridae,,2.0
81,Cuterebra grisea,Oestridae,,2.0
82,Dendroica petechia,Parulidae,,1.0
83,Dermacentor occidentalis,Ixodidae,,9.0
84,Dermacentor variabilis,Ixodidae,,38.0
85,Dipetalonema llewellyni,Setariidae,,2.0
86,Dirofilaria immitis,Onchocercidae,,39.0
87,Dirofilaria tenuis,Onchocercidae,,3.0
88,Dracunculus insignis,Dracunculidae,,32.0
89,Dracunculus medinensis,Dracunculidae,,25.0
90,Egretta thula,Ardeidae,,31.0
91,Egretta tricolor,Ardeidae,,13.0
92,Ehrlichia canis,Anaplasmataceae,,16.0
93,Ehrlichia chaffeensis,Anaplasmataceae,,21.0
94,Ehrlichia muris,Anaplasmataceae,,6.0
95,Enterococcus faecalis,Enterococcaceae,,36.0
96,Enterocytozoon bieneusi,Enterocytozoonidae,,10.0
97,Eremophila alpestris,Alaudidae,,11.0
98,Ergasilus auritus,Ergasilidae,,11.0
99,Escherichia coli,Enterobacteriaceae,,133.0
100,Euryhelmis squamula,Heterophyidae,,10.0
101,Eurytrema procyonis,Dicrocoeliidae,,4.0
102,Feline panleukopenia virus,Parvoviridae,,15.0
103,Fibricola cartera,Diplostomatidae,,2.0
104,Fibricola texensis,Diplostomatidae,,4.0
105,Filaria martis,Filariidae,,7.0
106,Filaria taxideae,Filariidae,,6.0
107,Francisella tularensis,Francisellaceae,,42.0
108,Fulica americana,Rallidae,,45.0
109,Gallinula chloropus,Rallidae,,16.0
110,Gnathostoma lamothei,Gnathostomatidae,,31.0
111,Gnathostoma neoprocyonis,Gnathostomatidae,,2.0
112,Gnathostoma procyonis,Gnathostomatidae,,34.0
113,Gnathostoma spinigerum,Gnathostomatidae,,125.0
114,Gongylonema pulchrum,Gongylonematidae,,87.0
115,Gynaecotyla adunca,Microphallidae,,3.0
116,Gyrosoma singularis,Psilostomatidae,,2.0
117,Haemobartonella procyoni,Anaplasmataceae,,2.0
118,Haliaeetus leucocephalus,Accipitridae,,294.0
119,Hemigrapsus oregonensis,Varunidae,,20.0
120,Hepatozoon procyonis,Hepatozoidae,,3.0
121,Heterobilharzia americana,Schistosomatidae,,11.0
122,Himasthla rhigedana,Echinostomatidae,,52.0
123,Hydatigera taeniaeformis,Taeniidae,,19.0
124,Hyla squirella,Hylidae,,3.0
125,Ictinia mississippiensis,Accipitridae,,2.0
126,Isthmiophora hortensis,Echinostomatidae,,4.0
127,Ixodes affinis,Ixodidae,,16.0
128,Ixodes banksi,Ixodidae,,4.0
129,Ixodes cookei,Ixodidae,,12.0
130,Ixodes diversifossus,Ixodidae,,5.0
131,Ixodes kingi,Ixodidae,,9.0
132,Ixodes ovatus,Ixodidae,,6.0
133,Ixodes persulcatus,Ixodidae,,6.0
134,Ixodes ricinus,Ixodidae,,44.0
135,Ixodes scapularis,Ixodidae,,22.0
136,Ixodes sculptus,Ixodidae,,6.0
137,Ixodes tanuki,Ixodidae,,2.0
138,Ixodes texanus,Ixodidae,,8.0
139,Lagochilascaris major,Ascaridae,,8.0
140,Lagochilascaris procyonis,Ascarididae,,2.0
141,Lampropeltis triangulum,Colubridae,,2.0
142,Larus californicus,Laridae,,32.0
143,Lepomis macrochirus,Centrarchidae,,5.0
144,Leptospira canicola,Leptospiraceae,,2.0
145,Leptospira icterohaemorrhagiae,Leptospiraceae,,3.0
146,Leptospira interrogans,Leptospiraceae,,67.0
147,Leucochloridiomorpha constantiae,Leucochloridiomorphidae,,5.0
148,Listeria monocytogenes,Listeriaceae,,48.0
149,Macracanthorhynchus ingens,Oligacanthorhynchidae,,44.0
150,Macroorchis spinulosus,Nanophyetidae,,2.0
151,Mansonella llewellyni,Onchocercidae,,2.0
152,Maritreminoides nettae,Microphallidae,,2.0
153,Martes pennanti,Mustelidae,,1.0
154,Megaceryle alcyon,Alcedinidae,,16.0
155,Megascops asio,Strigidae,,59.0
156,Megascops kennicottii,Strigidae,,14.0
157,Mesocestoides corti,Mesocestoididae,,4.0
158,Mesocestoides lineatus,Mesocestoididae,,42.0
159,Mesostephanus appendiculatoides,Cyathocotylidae,,45.0
160,Mesostephanus appendiculatus,Cyathocotylidae,,39.0
161,Metagonimoides oregonensis,Heterophyidae,,3.0
162,Metagonimus takahashii,Heterophyidae,,12.0
163,Metagonimus yokogawai,Heterophyidae,,53.0
164,Metorchis complexus,Opisthorchiidae,,4.0
165,Metorchis conjunctus,Opisthorchiidae,,9.0
166,Microphallus papillorobustus,Microphallidae,,5.0
167,Microphallus similis,Microphallidae,,4.0
168,Microphallus turgidus,Microphallidae,,9.0
169,Molineus barbatus,Molineidae,,16.0
170,Molineus elegans,Molineidae,,11.0
171,Molineus felineus,Molineidae,,2.0
172,Molineus legerae,Molineidae,,5.0
173,Mycobacterium avium,Mycobacteriaceae,,21.0
174,Mycobacterium bovis,Mycobacteriaceae,,48.0
175,Mycobacterium fortuitum,Mycobacteriaceae,,11.0
176,Mycteria americana,Ciconiidae,,39.0
177,Neospora caninum,Sarcocystidae,,57.0
178,Nerocila californica,Cymothoidae,,3.0
179,Ocypode quadrata,Ocypodidae,,2.0
180,Oligacanthorhynchus tumidus,Oligacanthorhynchidae,,3.0
181,Ondatra zibethicus,Cricetidae,,1.0
182,Oochoristica procyonis,Anoplocephalidae,,2.0
183,Orchopeas howardi,Ceratophyllidae,,18.0
184,Ornithonyssus bacoti,Macronyssidae,,9.0
185,Orthopoxvirus,Poxviridae,,39.0
186,Pachygrapsus crassipes,Grapsidae,,43.0
187,Pachysentis canicola,Oligacanthorhynchidae,,7.0
188,Pandion haliaetus,Pandionidae,,37.0
189,Paragonimus kellicotti,Paragonimidae,,15.0
190,Paragonimus rudis,Paragonimidae,,5.0
191,Parallelorchis diglossus,Diplostomatidae,,2.0
192,Parametorchis complexus,Opisthorchiidae,,4.0
193,Parorchis acanthus,Philophthalmidae,,71.0
194,Parvovirus,Parvoviridae,,4.0
195,Passer domesticus,Passeridae,,16.0
196,Pearsonema plica,Capillariidae,,19.0
197,Pharyngostomoides adenocephala,Diplostomatidae,,2.0
198,Pharyngostomoides ovalis,Diplostomatidae,,2.0
199,Pharyngostomoides procyonis,Diplostomatidae,,3.0
200,Phocitremoides ovale,Heterophyidae,,74.0
201,Physaloptera maxillaris,Physalopteridae,,15.0
202,Physaloptera rara,Physalopteridae,,32.0
203,Physaloptera torquata,Physalopteridae,,4.0
204,Placoconus lotoris,Ancylostomatidae,,9.0
205,Plagiorchis muris,Plagiorchiidae,,9.0
206,Plagiorchis vespertilionis,Plagiorchiidae,,7.0
207,Plagiorhynchus cylindraceus,Plagiorhynchidae,,51.0
208,Plagiorhynchus ogatai,Plagiorhynchidae,,2.0
209,Plestiodon fasciatus,Scincidae,,1.0
210,Plusaetis dolens,Ceratophyllidae,,17.0
211,Podilymbus podiceps,Podicipedidae,,28.0
212,Porrocaecum decipiens,Toxocaridae,,9.0
213,Porrorchis oti,Plagiorhynchidae,,2.0
214,Portunion conformis,Entoniscidae,,2.0
215,Pricetrema zolophi,Heterophyidae,,3.0
216,Probolocoryphe uca,Microphallidae,,34.0
217,Procyon lotor,Procyonidae,,160.0
218,Procyonostrongylus muelleri,Metastrongylidae,,2.0
219,Procyotrema marsupiformis,Diplostomatidae,,2.0
220,Profilicollis botulus,Polymorphidae,,8.0
221,Prosthodendrium naviculum,Lecithodendriidae,,4.0
222,Prunus ilicifolia,Rosaceae,,9.0
223,Pseudomonas aeruginosa,Pseudomonadaceae,,106.0
224,Pulex simulans,Pulicidae,,14.0
225,Pygidiopsoides spindalis,Heterophyidae,,73.0
226,Rabies virus,Rhabdoviridae,,114.0
227,Raccoon-associated polyomavirus 2,Polyomaviridae,,2.0
228,Raccoonpox virus,Poxviridae,,2.0
229,Rhigonema infecta,Rhigonematidae,,2.0
230,Ribeiroia ondatrae,Psilostomatidae,,36.0
231,Rynchops niger,Laridae,,20.0
232,Salmonella enterica,Enterobacteriaceae,,48.0
233,Sarcocystis kirkpatricki,Sarcocystidae,,2.0
234,Sarcocystis neurona,Sarcocystidae,,20.0
235,Sigmodon hispidus,Muridae,,2.0
236,Southwellina hispida,Polymorphidae,,78.0
237,Sphaerirostris lanceoides,Centrorhynchidae,,3.0
238,Sphaerirostris picae,Centrorhynchidae,,14.0
239,Spirocamallanus pereirai,Camallanidae,,19.0
240,Spirometra mansonoides,Diphyllobothriidae,,47.0
241,Stachiella octomaculatus,Trichodectidae,,6.0
242,Staphylococcus aureus,Staphylococcaceae,,57.0
243,Staphylococcus intermedius,Staphylococcaceae,,7.0
244,Stephanoprora spinosa,Echinostomatidae,,2.0
245,Stictodora hancocki,Heterophyidae,,78.0
246,Strix varia,Strigidae,,60.0
247,Strongyloides procyonis,Strongyloididae,,4.0
248,Synhimantus longigutturatus,Acuariidae,,3.0
249,Taenia hydatigena,Taeniidae,,82.0
250,Taenia pisiformis,Taeniidae,,57.0
251,Taenia taeniaeformis,Taeniidae,,70.0
252,Thamnophis sirtalis,Colubridae,,2.0
253,Toxascaris leonina,Ascarididae,,60.0
254,Toxascaris procyonis,Ascarididae,,2.0
255,Toxoplasma gondii,Sarcocystidae,,179.0
256,Trichinella pseudospiralis,Trichinellidae,,8.0
257,Trichinella spiralis,Trichinellidae,,67.0
258,Troglotrema mustelae,Troglotrematidae,,3.0
259,Trypanosoma cruzi,Trypanosomatidae,,120.0
260,Uncinaria lotoris,Ancylostomatidae,,2.0
